District,Suburbs,Max Results
Lichtenberg,"[('Friedrichsfelde', 130)]",21
Marzahn-Hellersdorf,"[('Biesdorf', 117), ('Kaulsdorf', 147), ('Mahlsdorf', 157)]",21
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162), ('Marzahn-Hellersdorf', 85085)]",34
Pankow,"[('Wilhelmsruh', 85095), ('Niederschönhausen', 167), ('Blankenfelde', 119), ('Buch', 123)]",19
Pankow,"[('Karow', 146)]",9
Pankow,"[('Weißensee', 190), ('Steglitz', 181)]",91
Pankow,"[('Prenzlauer Berg', 171), ('Buchholz', 124)]",305
Pankow,"[('Französisch Buchholz', 85078)]",0
Pankow,"[('Französisch Buchholz', 85078)]",7
Pankow,"[('Pankow', 170)]",90
Pankow,"[('Rosenthal', 174)]",8
Pankow,"[('Heinersdorf', 138), ('Blankenburg', 118)]",8
Reinickendorf,"[('Frohnau', 133), ('Waidmannslust', 186)]",10
Reinickendorf,"[('Lübars', 156), ('Heiligensee', 137), ('Marienfelde', 161), ('Reinickendorf', 173)]",61
Reinickendorf,"[('Wittenau', 193), ('Konradshöhe', 149), ('Borsigwalde', 121), ('Tegel', 182)]",20
Reinickendorf,"[('Hermsdorf', 140)]",9
Neukölln,"[('Neukölln', 165), ('Gropiusstadt', 85081)]",485
Neukölln,"[('Buckow', 125), ('Britz', 122), ('Rudow', 175)]",31
Charlottenburg-Wilmersdorf,"[('Charlottenburg-Wilmersdorf', 85077)]",69
Charlottenburg-Wilmersdorf,"[('Schmöckwitz', 177), ('Wilmersdorf', 192), ('Halensee', 85083), ('Grunewald', 136)]",65
Charlottenburg-Wilmersdorf,"[('Charlottenburg', 126)]",148
Steglitz-Zehlendorf,"[('Lichterfelde', 155), ('Schmargendorf', 176), ('Zehlendorf', 194)]",55
Steglitz-Zehlendorf,"[('Steglitz-Zehlendorf', 85093), ('Nikolassee', 168)]",25
Steglitz-Zehlendorf,"[('Wannsee', 187)]",9
Steglitz-Zehlendorf,"[('Dahlem', 127)]",11
Steglitz-Zehlendorf,"[('Lankwitz', 152)]",22
Tempelhof-Schöneberg,"[('Tempelhof', 183), ('Mariendorf', 160)]",62
Tempelhof-Schöneberg,"[('Tempelhof-Schöneberg', 85094), ('Lichtenrade', 154), ('Friedenau', 129)]",82
Tempelhof-Schöneberg,"[('Siemensstadt', 179)]",11
Friedrichshain-Kreuzberg,"[('Friedrichshain', 132), ('Friedrichshain-Kreuzberg', 85079), ('Kreuzberg', 151)]",703
Spandau,"[('Gatow', 134)]",8
Spandau,"[('Hakenfelde', 85082)]",7
Spandau,"[('Staaken', 85091), ('Stadtrandsiedlung Malchow', 85092), ('Pichelsdorf', 85088)]",11
Spandau,"[('Wilhelmstadt', 85096)]",8
Spandau,"[('Kladow', 148)]",7
Spandau,"[('Spandau', 180)]",34
Mitte,"[('Tiergarten', 184)]",37
Mitte,"[('Moabit', 85086)]",131
Mitte,"[('Gesundbrunnen', 85080), ('Wedding', 189)]",273
Mitte,"[('Mitte', 163)]",214
Treptow-Köpenick,"[('Friedrichshagen', 131)]",12
Treptow-Köpenick,"[('Johannisthal', 143), ('Grünau', 135), ('Altglienicke', 115), ('Plänterwald', 85089)]",0
Treptow-Köpenick,"[('Johannisthal', 143), ('Grünau', 135), ('Altglienicke', 115), ('Plänterwald', 85089)]",27
Treptow-Köpenick,"[('Hessenwinkel', 141), ('Karolinenhof', 145), ('Wilhelmshagen', 191), ('Oberschöneweide', 169)]",36
Treptow-Köpenick,"[('Niederschöneweide', 166), ('Baumschulenweg', 116)]",25
Treptow-Köpenick,"[('Schöneberg', 178), ('Treptow', 185), ('Bohnsdorf', 120)]",190
Treptow-Köpenick,"[('Adlershof', 114), ('Müggelheim', 164)]",35
Treptow-Köpenick,"[('Rahnsdorf', 172), ('Köpenick', 150)]",40
Lichtenberg,"[('Hohenschönhausen', 142), ('Malchow', 158)]",10
Lichtenberg,"[('Friedrichsfelde', 130), ('Wartenberg', 188), ('Rummelsburg', 85090)]",27
Lichtenberg,"[('Lichtenberg', 153)]",116
Lichtenberg,"[('Karlshorst', 144), ('Neu-Hohenschönhausen', 85087)]",23
Lichtenberg,"[('Falkenberg', 128), ('Alt-Hohenschönhausen', 85076)]",20
Marzahn-Hellersdorf,"[('Kaulsdorf', 147), ('Biesdorf', 117), ('Marzahn-Hellersdorf', 85085)]",24
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Mahlsdorf', 157)]",21
Marzahn-Hellersdorf,"[('Marzahn', 162)]",15
Pankow,"[('Rosenthal', 174)]",8
Pankow,"[('Blankenburg', 118), ('Niederschönhausen', 167)]",16
Pankow,"[('Prenzlauer Berg', 171)]",307
Pankow,"[('Französisch Buchholz', 85078), ('Weißensee', 190)]",36
Pankow,"[('Heinersdorf', 138)]",7
Pankow,"[('Buch', 123), ('Karow', 146), ('Pankow', 170)]",101
Pankow,"[('Steglitz', 181), ('Blankenfelde', 119), ('Wilhelmsruh', 85095), ('Buchholz', 124)]",62
Reinickendorf,"[('Heiligensee', 137), ('Lübars', 156)]",7
Reinickendorf,"[('Waidmannslust', 186)]",8
Reinickendorf,"[('Reinickendorf', 173), ('Marienfelde', 161)]",62
Reinickendorf,"[('Wittenau', 193), ('Borsigwalde', 121)]",12
Reinickendorf,"[('Hermsdorf', 140), ('Tegel', 182)]",16
Reinickendorf,"[('Konradshöhe', 149)]",8
Reinickendorf,"[('Frohnau', 133)]",10
Neukölln,"[('Neukölln', 165)]",471
Neukölln,"[('Britz', 122), ('Buckow', 125), ('Gropiusstadt', 85081), ('Rudow', 175)]",44
Charlottenburg-Wilmersdorf,"[('Charlottenburg', 126), ('Wilmersdorf', 192)]",205
Charlottenburg-Wilmersdorf,"[('Charlottenburg-Wilmersdorf', 85077), ('Halensee', 85083), ('Grunewald', 136), ('Schmöckwitz', 177)]",73
Steglitz-Zehlendorf,"[('Steglitz-Zehlendorf', 85093), ('Nikolassee', 168)]",24
Steglitz-Zehlendorf,"[('Lichterfelde', 155), ('Wannsee', 187)]",31
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
